store_id,forecast_week,sales_prediction
43,5,49790.72919097922
43,6,49162.182937303165
43,7,50087.90337044421
43,8,49919.68687118372
43,9,28293.623838917192
44,1,42292.21140363119
44,2,42779.82501746507
44,3,42776.90576705275
44,4,43035.15202492074
44,5,43632.831365650054
44,6,43515.34960500366
44,7,43718.63474699022
44,8,43315.68778845279
44,9,25160.178088593908
45,1,31302.624542270787
45,2,31112.895044762223
45,3,30396.663791834748
45,4,30395.872467679543
45,5,30207.53126898307
45,6,30499.71097448449
45,7,30525.32214553189
45,8,30330.493333312086
45,9,17083.644090922353
46,1,40032.825942902564
46,2,40199.7117716268
46,3,40647.517886565336
46,4,40622.32149835583
46,5,39934.61999216729
46,6,39801.43077406637
46,7,40196.30681326195
46,8,40478.297741510134
46,9,22691.31636875515
47,1,40704.073376701854
47,2,40760.00784113579
47,3,40640.30972679218
47,4,40377.62581667333
47,5,40418.62511216291
47,6,40594.082527595194
47,7,40064.4418738669
47,8,39761.33013733272
47,9,22443.393364321964
48,1,55493.28556414109
48,2,54146.47303483531
48,3,54196.22611872399
48,4,54474.91749238211
48,5,54212.762628718534
48,6,53925.461526653155
48,7,53419.90053782721
48,8,54088.6882737786
48,9,30776.916035306527
49,1,54467.004325189235
49,2,53616.154412030846
49,3,53585.40449610721
49,4,54032.03920521656
49,5,53622.58380838664
49,6,53029.246131116546
49,7,53380.28659255714
49,8,54049.795952651155
49,9,31351.435950980085
50,1,22615.59260522576
50,2,23805.97168820708
50,3,23326.75207206457
50,4,23521.001983840422
50,5,23103.325041358752
50,6,23729.04403984705
50,7,22897.562477971213
50,8,22152.511333548315
50,9,12187.223565479831
51,1,49812.58387285266
51,2,49164.00196390781
51,3,49138.135012075
51,4,49524.66615932885
51,5,49489.64671727046
51,6,49216.05166338883
51,7,49236.32845966257
51,8,49862.472065439266
51,9,28517.37626062765
52,1,46064.938188535794
52,2,45813.88918957703
52,3,46375.06652907159
52,4,46407.03309387587
52,5,46115.30493619548
52,6,45667.862734200186
52,7,45779.009913159025
52,8,46139.67824212371
52,9,26353.453778783045
53,1,25287.761120457908
53,2,25661.728461626957
53,3,25161.445371183872
53,4,25826.28060935631
53,5,26361.29767831335
53,6,27269.166723788032
53,7,26559.60507379474
53,8,26283.328885296243
53,9,15172.991024129942
54,1,36920.013862415144
54,2,37369.373644063046
54,3,36862.0160068136
54,4,36622.92627776848
54,5,37053.18034236967
54,6,37283.52436220421
54,7,37689.49885517043
54,8,37202.66129126558
