store_id,forecast_week,sales_prediction
71,7,26349.838205096814
71,8,25936.784494320425
71,9,14992.814134269602
72,1,36875.27298168714
72,2,36922.66533703275
72,3,37232.61411024171
72,4,37117.30904493256
72,5,36600.68336671075
72,6,37185.45056591378
72,7,37363.38953601148
72,8,37298.337070246394
72,9,21117.479910795304
73,1,37661.11933010697
73,2,37922.87998094489
73,3,37944.74577634984
73,4,37903.16792952583
73,5,37879.08433014122
73,6,37832.84443077635
73,7,38129.2285053796
73,8,38113.78721596563
73,9,21809.66887477385
74,1,37672.22444930202
74,2,38169.45822110257
74,3,38299.67125145511
74,4,38006.9517761215
74,5,38049.70676833204
74,6,38583.5455134899
74,7,38446.510930345474
74,8,38172.06103216712
74,9,21723.10037957324
75,1,44114.90780055373
75,2,44287.10831298671
75,3,44640.110096048316
75,4,44513.53095077246
75,5,44505.058111798164
75,6,44184.99865082145
75,7,44623.87342250823
75,8,44229.02026879472
75,9,25173.344469799926
76,1,28477.287669902344
76,2,30373.963006401576
76,3,30731.923378756896
76,4,29871.327729702425
76,5,30207.507842791427
76,6,30248.359548983688
76,7,31596.683845880943
76,8,30427.96250318773
76,9,17338.745205811694
77,1,42909.70857229394
77,2,42222.94488763974
77,3,41887.26211232574
77,4,42554.57117410222
77,5,41709.57735687218
77,6,42283.99722975025
77,7,41760.88078628276
77,8,42304.99613859071
77,9,23901.308238634847
78,1,39380.03278469624
78,2,39773.01109786866
78,3,40124.20239125269
78,4,40268.554615557325
78,5,39913.511804415335
78,6,40223.35575739414
78,7,40103.63337849276
78,8,40242.411645924
78,9,22855.737433949642
79,1,41096.36467319399
79,2,40277.16409106606
79,3,39543.96944148543
79,4,39924.195091341775
79,5,39674.13664495065
79,6,39452.577432441605
79,7,39936.79328601274
79,8,40296.78958199641
79,9,23033.392798941488
80,1,31775.337830307613
80,2,32121.17086105769
80,3,31665.905752533443
80,4,31551.345789477713
80,5,32102.107351510156
80,6,32320.239653787394
80,7,31911.361522762127
80,8,31288.028225413746
80,9,17977.59558279632
81,1,37620.168727598895
81,2,37858.343060940126
81,3,38450.46105058356
81,4,38309.37095454579
81,5,38479.845047622926
81,6,38194.37892232984
81,7,38826.07022574431
81,8,38726.828177845055
81,9,22265.367043423525
82,1,42084.24583067816
82,2,41625.43613628672
82,3,42292.84694311495
82,4,42629.869210304234
82,5,42381.287262185055
82,6,42508.05989453901
82,7,42652.00605377772
82,8,43030.274608204214
82,9,24505.083200344703
83,1,34157.67862017354
83,2,34122.49766957645
83,3,34104.67806546112
83,4,34032.668766541254
83,5,33976.424859424704
83,6,34313.658692276425
83,7,33521.27798814175
83,8,32613.897184807174
83,9,18329.523005058523
84,1,41695.193993098546
84,2,41974.81081062526
84,3,41489.579082994605
84,4,41523.53269272038
84,5,41583.048827964434
84,6,41980.550196096185
84,7,42304.60246601024
84,8,42344.34365642837
84,9,24029.18438482496
85,1,27548.7247084847
85,2,28635.713793451152
85,3,27778.977108137737
85,4,27838.425804917948
85,5,27811.179092987037
85,6,28970.887818696865
85,7,28737.3580781975
85,8,28852.96730506853
85,9,16419.565104836896
86,1,37214.0657267404
86,2,37508.3350582357
86,3,37353.836185933134
86,4,36767.571558705815
86,5,36991.537612527114
86,6,36831.86796170592
86,7,36993.11246908837
86,8,36810.13758908627
86,9,20957.30982226775
87,1,44514.82309593205
87,2,43422.2003650335
87,3,43741.8492628394
87,4,44546.420028555585
87,5,44664.87331171183
87,6,43856.807866602474
87,7,43857.8040417947
87,8,44781.63523395403
87,9,25472.946768877206
88,1,44193.896638757906
88,2,44384.3876789433
88,3,44458.26991544398
88,4,43998.6558823323
88,5,44414.77232456805
88,6,44494.180642349485
88,7,44418.150354925536
88,8,44034.17266229793
88,9,25243.00695867687
89,1,49298.37442253173
89,2,49297.51568894064
89,3,49240.405338141674
89,4,49216.376819527766
89,5,49701.569638446585
89,6,49516.6253191115
89,7,49074.438173319184
89,8,48899.48801774254
89,9,27923.873711522225
90,1,42287.52650607623
90,2,42316.07107354222
90,3,41960.79496876308
90,4,42232.73008827225
90,5,42098.26730909477
90,6,42383.105895792265
90,7,42410.13970833814
90,8,42103.433980411864
90,9,24023.838350855312
91,1,40026.07431982888
91,2,40454.89618668951
91,3,39671.35609128756
91,4,39601.564357593204
91,5,40080.20319783036
91,6,40438.683841316655
91,7,39858.21514114322
91,8,39600.34324150813
91,9,22654.014910130296
92,1,32810.79038117987
92,2,33806.13987161231
92,3,34003.25903757822
92,4,33939.68773374398
92,5,34053.99256539356
92,6,34254.73445828029
92,7,34158.300468588735
92,8,33654.92221994599
92,9,19333.892519822562
93,1,34283.98711926195
93,2,33584.20482303371
93,3,33657.2935141209
93,4,33623.52614241121
93,5,33378.95033647097
93,6,33604.424747628276
93,7,33713.2606619561
93,8,33821.27425526833
93,9,19272.893528213706
94,1,35988.05989952637
94,2,36884.63272412594
94,3,36728.02413415701
94,4,36535.45037920058
94,5,36980.93123227406
94,6,37423.2867914523
94,7,37362.98170459148
94,8,36769.127160901255
94,9,21101.94139895995
95,1,30479.365092367356
95,2,31216.932387288787
95,3,31287.35906141137
95,4,31075.217818599616
95,5,31058.261230719414
95,6,31449.723686966478
95,7,31773.64499290951
95,8,31463.290704959312
95,9,17970.32392190894
